"club","season","points","wage_gbp_annual","efficiency"
"Southampton","2024-2025",12,56030000,-31.5559461221872
"Chelsea","2022-2023",44,190060000,-27.8839956263668
"Manchester Utd","2024-2025",42,180848000,-27.0996347526528
"Wolves","2025-2026",20,72358000,-25.7171086105931
"Leicester City","2024-2025",25,65416000,-21.9322041682392
"Manchester Utd","2021-2022",58,238850000,-21.3967807093591
"Everton","2021-2022",39,92698000,-19.7640424109123
"Tottenham","2024-2025",38,104286000,-19.0987215579399
"Leicester City","2022-2023",34,78780000,-18.685825877182
"Fulham","2020-2021",28,52168824,-18.4282478715758
