"club","mean_efficiency","seasons"
"Brentford",15.8787440611748,5
"Manchester City",13.6620719390976,7
"Liverpool",13.5279908712288,7
"Sunderland",9.63189488187145,1
"Arsenal",8.58181923015695,7
"Leeds United",8.07843525079995,4
"Brighton",7.17271380402518,7
"Bournemouth",5.0003640405069,5
"Sheffield United",2.45118126519848,3
"Newcastle",1.51740790164469,7
"Aston Villa",1.49894130364812,7
"Fulham",-0.360668501494973,5
"Luton Town",-0.892800738814841,1
"Wolves",-1.99338956328486,7
"Nottingham",-3.24009154016347,4
"Crystal Palace",-4.29385986670673,7
"Tottenham",-4.53636019278034,7
"Leicester City",-4.71779392715147,5
"Burnley",-4.89078709995189,5
"West Ham",-5.64792724410105,7
"Chelsea",-5.88047949838306,7
"Everton",-8.21674493670745,7
"Manchester Utd",-8.79476209963709,7
"Ipswich Town",-10.8046936830431,1
"Southampton",-11.1997790214344,5
"Norwich City",-11.775901549957,2
"West Brom",-12.9906473666039,1
"Watford",-16.4156089636432,2
