"club","season","points","ppg","rank","wage_gbp_annual","ln_wage","efficiency","efficiency_prev"
"Arsenal","2020-2021",61,1.61,8,147450000,18.8089996932256,-8.07774768881936,-8.35598045141685
"Arsenal","2021-2022",69,1.82,5,114370000,18.5549493647574,5.65611344161929,-8.07774768881936
"Arsenal","2022-2023",84,2.21,2,101660000,18.437144469983,25.7559180232686,5.65611344161929
"Arsenal","2023-2024",89,2.34,2,166036000,18.9277151902783,20.4558595143732,25.7559180232686
"Arsenal","2024-2025",74,1.95,2,169416000,18.9478677867256,6.32384850019321,20.4558595143732
"Arsenal","2025-2026",85,2.24,1,189332000,19.059012645739,18.3147232718806,6.32384850019321
"Aston Villa","2020-2021",55,1.45,11,62113024,17.9444662511622,4.76842509204454,-11.0339808405505
"Aston Villa","2021-2022",45,1.18,14,71490000,18.085068137743,-8.10083249020945,4.76842509204454
"Aston Villa","2022-2023",61,1.61,7,100620000,18.4268616030274,2.98007671730948,-8.10083249020945
"Aston Villa","2023-2024",68,1.79,4,117150000,18.5789657229181,7.05833317163207,2.98007671730948
"Aston Villa","2024-2025",66,1.74,6,107536000,18.4933362331919,8.23229133822342,7.05833317163207
"Aston Villa","2025-2026",65,1.71,4,129537200,18.6794786565402,6.5882761370873,8.23229133822342
"Bournemouth","2022-2023",39,1.03,15,38428000,17.4642969185118,1.96325616939039,-7.9184133973494
"Bournemouth","2023-2024",48,1.26,12,54834000,17.8198209974824,3.6071119292202,1.96325616939039
"Bournemouth","2024-2025",56,1.47,9,54704000,17.8174473908612,12.9661550425826,3.6071119292202
"Bournemouth","2025-2026",57,1.5,6,62764000,17.9548922186611,14.3837104586907,12.9661550425826
"Brentford","2022-2023",59,1.55,9,32136000,17.2854874550213,25.8611667415402,19.4694719958237
"Brentford","2023-2024",39,1.03,16,39936000,17.5027887307112,1.51817468975182,25.8611667415402
"Brentford","2024-2025",56,1.47,10,41470000,17.5404808322226,19.0038157791848,1.51817468975182
"Brentford","2025-2026",53,1.39,9,54301000,17.8100532009408,13.5410910995733,19.0038157791848
"Brighton","2020-2021",41,1.08,16,51578900,17.7586232320947,-5.18033816330726,-3.97294924338109
"Brighton","2021-2022",51,1.34,9,46470000,17.6543175010612,7.28920441223692,-5.18033816330726
"Brighton","2022-2023",62,1.63,6,38376000,17.462942822164,24.9927744418939,7.28920441223692
"Brighton","2023-2024",48,1.26,11,62400000,17.9490758333397,0.789454623200502,24.9927744418939
"Brighton","2024-2025",61,1.61,8,61958000,17.9419672941024,15.2517156733684,0.789454623200502
"Brighton","2025-2026",53,1.39,8,60905000,17.9248258311162,11.0391348841649,15.2517156733684
"Burnley","2020-2021",39,1.03,17,36751000,17.4196759941373,0.208454333714569,11.0167725226513
"Burnley","2021-2022",35,0.92,18,39520000,17.4923174308439,-5.1793170291787,0.208454333714569
