"club","season","points","wage_gbp_annual","efficiency"
"Liverpool","2019-2020",99,114870000,35.3295926437633
"Leeds United","2020-2021",59,24186400,29.3287105398059
"Brentford","2022-2023",59,32136000,25.8611667415402
"Arsenal","2022-2023",84,101660000,25.7559180232686
"Brighton","2022-2023",62,38376000,24.9927744418939
"Sheffield United","2019-2020",54,24180000,24.2988093328329
"Liverpool","2021-2022",92,144412000,23.5718433768508
"Manchester City","2021-2022",93,151552000,23.5198452567955
"Liverpool","2024-2025",84,128804000,22.2982653015986
"Arsenal","2023-2024",89,166036000,20.4558595143732
